Seconds;Area%;Circularity;Vdeshidratacion;Vdeplasmolisi;Survival
1;0,965308951;0,892423;0;0,00%;0,00%
2;0,962702468;0,896257;0,27%;0,00%;5,60%
3;0,943588258;0,882077;1,13%;0,00%;16,80%
4;0,947435924;0,880986;0,62%;0,00%;25,26%
5;0,945698269;0,88405;0,51%;0,00%;26,07%
6;0,926004841;0,873238;0,81%;0,00%;25,56%
7;0,918061273;0,87294;0,82%;0,00%;26,12%
8;0,917502741;0,879374;0,71%;0,00%;26,57%
9;0,911958793;0,87771;0,69%;0,00%;36,33%
10;0,90507023;0,873968;0,69%;0,00%;36,95%
11;0,895844107;0,873851;0,72%;0,00%;37,15%
12;0,886204257;0,864448;0,74%;0,00%;37,50%
13;0,884611406;0,863645;0,70%;0,00%;37,37%
14;0,878219317;0,862833;0,69%;0,00%;38,07%
15;0,878633044;0,866889;0,64%;0,00%;38,62%
16;0,870193004;0,858561;0,66%;0,00%;49,40%
17;0,871765168;0,856492;0,61%;0,00%;49,46%
18;0,866035043;0,86876;0,60%;0,00%;50,36%
19;0,860946195;0,85892;0,60%;0,00%;49,21%
20;0,85635382;0,851779;0,59%;0,00%;50,33%
21;0,854429987;0,854232;0,57%;0,00%;50,30%
22;0,851451149;0,852315;0,56%;0,00%;51,61%
23;0,847044951;0,851211;0,56%;0,00%;50,41%
24;0,87751598;0,868823;0,40%;0,00%;50,70%
25;0,845617592;0,862596;0,52%;0,00%;51,13%
26;0,841459631;0,85544;0,51%;0,00%;50,67%
27;0,836143232;0,854451;0,51%;0,00%;51,78%
28;0,832729981;0,854316;0,51%;0,00%;51,97%
29;0,833536749;0,849204;0,49%;0,00%;62,73%
30;0,835564014;0,853859;0,46%;0,00%;63,13%
31;0,833143708;0,853218;0,46%;0,00%;64,20%
32;0,828406529;0,849123;0,46%;0,00%;64,05%
33;0,830599284;0,858748;0,44%;0,00%;63,59%
34;0,829895948;0,864388;0,43%;0,00%;63,73%
35;0,826586128;0,86094;0,42%;0,00%;64,74%
36;0,854781655;0,868344;0,33%;0,00%;64,14%
37;0,855278128;0,866222;0,32%;0,00%;66,02%
38;0,818042655;0,848042;0,41%;0,00%;66,00%
39;0,81909766;0,855764;0,40%;0,00%;65,48%
40;0,825096709;0,860936;0,37%;0,00%;65,16%
41;0,82149728;0,85194;0,37%;0,00%;67,00%
